match,team,jersey,player,top_speed_kmh
NOR V SEN,Norway,21,Andreas SCHJELDERUP,29.5
NOR V SEN,Norway,22,Oscar BOBB,27.0
NOR V SEN,Norway,26,Julian RYERSON,27.7
NOR V SEN,Senegal,3,Kalidou KOULIBALY,29.8
NOR V SEN,Senegal,5,Idrissa Gana GUEYE,29.9
NOR V SEN,Senegal,6,Pathe CISS,25.2
NOR V SEN,Senegal,8,Lamine CAMARA,30.6
NOR V SEN,Senegal,10,Sadio MANE,29.6
NOR V SEN,Senegal,11,Nicolas JACKSON,31.7
NOR V SEN,Senegal,14,Ismail JAKOBS,31.6
NOR V SEN,Senegal,15,Krepin DIATTA,31.1
NOR V SEN,Senegal,16,Edouard MENDY,20.5
NOR V SEN,Senegal,17,Pape Matar SARR,28.2
NOR V SEN,Senegal,18,Ismaila SARR,34.5
NOR V SEN,Senegal,19,Moussa NIAKHATE,30.9
NOR V SEN,Senegal,20,Ibrahim MBAYE,34.7
NOR V SEN,Senegal,23,Mory DIAW,19.5
NOR V SEN,Senegal,25,El Hadji Malick DIOUF,31.0
NOR V SEN,Senegal,26,Pape GUEYE,31.5
NZL V BEL,Belgium,1,Thibaut COURTOIS,26.5
NZL V BEL,Belgium,3,Arthur THEATE,31.5
NZL V BEL,Belgium,4,Brandon MECHELE,28.4
NZL V BEL,Belgium,5,Maxim DE CUYPER,31.5
NZL V BEL,Belgium,7,Kevin DE BRUYNE,31.7
NZL V BEL,Belgium,8,Youri TIELEMANS,29.8
NZL V BEL,Belgium,9,Romelu LUKAKU,30.9
NZL V BEL,Belgium,10,Leandro TROSSARD,33.2
NZL V BEL,Belgium,11,Jeremy DOKU,34.7
NZL V BEL,Belgium,17,Charles DE KETELAERE,31.8
NZL V BEL,Belgium,20,Hans VANAKEN,29.5
NZL V BEL,Belgium,21,Timothy CASTAGNE,32.6
NZL V BEL,Belgium,22,Alexis SAELEMAEKERS,32.3
NZL V BEL,Belgium,23,Nicolas RASKIN,25.4
NZL V BEL,Belgium,24,Amadou ONANA,30.4
NZL V BEL,Belgium,26,Matias FERNANDEZ,34.8
NZL V BEL,New Zealand,1,Max CROCOMBE,19.3
NZL V BEL,New Zealand,2,Tim PAYNE,33.7
NZL V BEL,New Zealand,3,Francis DE VRIES,32.3
NZL V BEL,New Zealand,4,Tyler BINDON,29.8
NZL V BEL,New Zealand,5,Michael BOXALL,32.9
NZL V BEL,New Zealand,6,Joe BELL,28.2
NZL V BEL,New Zealand,8,Marko STAMENIC,29.7
NZL V BEL,New Zealand,9,Chris WOOD,30.0
NZL V BEL,New Zealand,10,Sarpreet SINGH,27.9
NZL V BEL,New Zealand,11,Elijah JUST,30.3
NZL V BEL,New Zealand,13,Liberato CACACE,29.7
NZL V BEL,New Zealand,16,Finn SURMAN,32.3
NZL V BEL,New Zealand,19,Ben OLD,32.2
NZL V BEL,New Zealand,20,Callum McCOWATT,27.5
NZL V BEL,New Zealand,21,Jesse RANDALL,33.5
NZL V BEL,New Zealand,23,Ryan THOMAS,29.1
NZL V EGY,Egypt,2,YASSER IBRAHIM,30.7
NZL V EGY,Egypt,3,MOHAMED HANY,30.3
NZL V EGY,Egypt,4,HOSSAM ABDELMAGUID,27.5
NZL V EGY,Egypt,5,RAMY RABIA,31.2
NZL V EGY,Egypt,6,MOHAMED ABDELMONEIM,26.1
NZL V EGY,Egypt,7,TREZEGUET,32.7
NZL V EGY,Egypt,8,EMAM ASHOUR,30.8
NZL V EGY,Egypt,9,HAMZA ABDELKARIM,29.1
NZL V EGY,Egypt,10,MOHAMED SALAH,33.1
NZL V EGY,Egypt,11,MOSTAFA ZICO,31.0
NZL V EGY,Egypt,13,AHMED FATOUH,30.7
NZL V EGY,Egypt,14,HAMDY FATHY,29.2
NZL V EGY,Egypt,17,MOHANAD LASHIN,31.5
NZL V EGY,Egypt,19,MARAWAN ATTIA,30.6
NZL V EGY,Egypt,22,OMAR MARMOUSH,34.4
NZL V EGY,Egypt,23,MOSTAFA SHOUBIR,22.8
NZL V EGY,Egypt,25,ZIZO,32.6
NZL V EGY,New Zealand,1,Max CROCOMBE,20.0
NZL V EGY,New Zealand,2,Tim PAYNE,29.4
NZL V EGY,New Zealand,3,Francis DE VRIES,31.8
NZL V EGY,New Zealand,4,Tyler BINDON,31.7
NZL V EGY,New Zealand,5,Michael BOXALL,32.5
NZL V EGY,New Zealand,6,Joe BELL,28.2
NZL V EGY,New Zealand,8,Marko STAMENIC,31.5
NZL V EGY,New Zealand,9,Chris WOOD,31.9
NZL V EGY,New Zealand,10,Sarpreet SINGH,31.5
NZL V EGY,New Zealand,11,Elijah JUST,31.6
NZL V EGY,New Zealand,13,Liberato CACACE,29.7
NZL V EGY,New Zealand,16,Finn SURMAN,33.2
NZL V EGY,New Zealand,19,Ben OLD,30.8
NZL V EGY,New Zealand,20,Callum McCOWATT,31.7
NZL V EGY,New Zealand,21,Jesse RANDALL,34.6
NZL V EGY,New Zealand,23,Ryan THOMAS,30.5
PAN V CRO,Croatia,1,Dominik LIVAKOVIC,22.9
PAN V CRO,Croatia,2,Josip STANISIC,33.7
PAN V CRO,Croatia,3,Marin PONGRACIC,32.2
PAN V CRO,Croatia,4,Josko GVARDIOL,33.2
PAN V CRO,Croatia,6,Josip SUTALO,32.3
PAN V CRO,Croatia,8,Mateo KOVACIC,31.7
PAN V CRO,Croatia,9,Andrej KRAMARIC,30.3
PAN V CRO,Croatia,10,Luka MODRIC,30.0
PAN V CRO,Croatia,11,Ante BUDIMIR,31.0
PAN V CRO,Croatia,14,Ivan PERISIC,32.2
PAN V CRO,Croatia,15,Mario PASALIC,26.7
PAN V CRO,Croatia,16,Martin BATURINA,33.6
PAN V CRO,Croatia,17,Petar SUCIC,31.6
PAN V CRO,Croatia,21,Luka SUCIC,29.8
PAN V CRO,Croatia,24,Marco PASALIC,33.3
PAN V CRO,Croatia,26,Petar MUSA,27.8
PAN V CRO,Panama,2,Cesar BLACKMAN,32.9
PAN V CRO,Panama,3,Jose CORDOBA,31.6
PAN V CRO,Panama,6,Cristian MARTINEZ,30.9
PAN V CRO,Panama,7,Jose Luis RODRIGUEZ,32.3
PAN V CRO,Panama,9,Tomas RODRIGUEZ,30.7
PAN V CRO,Panama,11,Edgar Yoel BARCENAS,29.5
PAN V CRO,Panama,13,Jiovany RAMOS,29.6
PAN V CRO,Panama,14,Carlos HARVEY,28.7
PAN V CRO,Panama,15,Eric DAVIS,26.0
PAN V CRO,Panama,16,Andres ANDRADE,32.6
PAN V CRO,Panama,17,Jose FAJARDO,33.2
PAN V CRO,Panama,18,Cecilio WATERMAN,30.3
PAN V CRO,Panama,22,Orlando MOSQUERA,24.2
PAN V CRO,Panama,23,Amir MURILLO,34.1
PAN V CRO,Panama,24,Azarias LONDONO,27.1
PAN V ENG,England,1,Jordan PICKFORD,21.3
PAN V ENG,England,2,Ezri KONSA,32.2
PAN V ENG,England,3,Nico OREILLY,32.9
PAN V ENG,England,6,Marc GUEHI,32.9
PAN V ENG,England,7,Bukayo SAKA,31.5
PAN V ENG,England,8,Elliot ANDERSON,29.9
PAN V ENG,England,9,Harry KANE,29.1
PAN V ENG,England,10,Jude BELLINGHAM,31.5
PAN V ENG,England,11,Marcus RASHFORD,33.5
PAN V ENG,England,14,Jordan HENDERSON,28.3
PAN V ENG,England,17,Morgan ROGERS,33.4
PAN V ENG,England,19,Ollie WATKINS,30.8
PAN V ENG,England,20,Noni MADUEKE,34.3
PAN V ENG,England,21,Eberechi EZE,31.9
PAN V ENG,England,25,Djed SPENCE,33.6
PAN V ENG,England,26,Jarell QUANSAH,33.3
PAN V ENG,Panama,3,Jose CORDOBA,32.0
PAN V ENG,Panama,4,Fidel ESCOBAR,30.2
PAN V ENG,Panama,6,Cristian MARTINEZ,31.9
PAN V ENG,Panama,7,Jose Luis RODRIGUEZ,30.9
PAN V ENG,Panama,9,Tomas RODRIGUEZ,31.4
PAN V ENG,Panama,10,Ismael DIAZ,31.8
PAN V ENG,Panama,11,Edgar Yoel BARCENAS,31.4
PAN V ENG,Panama,14,Carlos HARVEY,32.8
PAN V ENG,Panama,15,Eric DAVIS,26.9
PAN V ENG,Panama,16,Andres ANDRADE,33.2
PAN V ENG,Panama,17,Jose FAJARDO,30.1
PAN V ENG,Panama,19,Alberto QUINTERO,29.5
PAN V ENG,Panama,22,Orlando MOSQUERA,24.3
PAN V ENG,Panama,23,Amir MURILLO,32.9
PAN V ENG,Panama,24,Azarias LONDONO,32.7
PAN V ENG,Panama,26,Jorge GUTIERREZ,30.2
PAR V AUS,Australia,3,Alessandro CIRCATI,30.1
PAR V AUS,Australia,5,Jordan BOS,31.1
PAR V AUS,Australia,8,Connor METCALFE,30.9
PAR V AUS,Australia,10,Ajdin HRUSTIC,29.0
PAR V AUS,Australia,13,Aiden ONEILL,30.2
PAR V AUS,Australia,16,Aziz BEHICH,32.0
PAR V AUS,Australia,17,Nestory IRANKUNDA,35.1
PAR V AUS,Australia,18,Patrick BEACH,21.8
PAR V AUS,Australia,19,Harry SOUTTAR,26.0
PAR V AUS,Australia,20,Cristian VOLPATO,29.7
PAR V AUS,Australia,22,Jackson IRVINE,29.9
PAR V AUS,Australia,24,Paul OKON,23.4
PAR V AUS,Australia,25,Lucas HERRINGTON,27.2
PAR V AUS,Australia,26,Tete YENGI,23.9
PAR V AUS,Paraguay,2,Gustavo VELAZQUEZ,28.4
PAR V AUS,Paraguay,3,Omar ALDERETE,32.1
PAR V AUS,Paraguay,4,Juan Jose CACERES,32.3
PAR V AUS,Paraguay,6,Junior ALONSO,23.7
PAR V AUS,Paraguay,8,Diego GOMEZ,32.7
PAR V AUS,Paraguay,11,MAURICIO,29.8
PAR V AUS,Paraguay,12,Orlando GILL,20.4
PAR V AUS,Paraguay,13,Jose CANALE,19.4
PAR V AUS,Paraguay,14,Andres CUBAS,29.8
PAR V AUS,Paraguay,15,Gustavo GOMEZ,32.3
PAR V AUS,Paraguay,16,Damian BOBADILLA,25.4
PAR V AUS,Paraguay,18,Alex ARCE,29.6
PAR V AUS,Paraguay,19,Julio ENCISO,31.2
PAR V AUS,Paraguay,21,Gabriel AVALOS,29.6
PAR V AUS,Paraguay,23,Matias GALARZA,29.9
PAR V AUS,Paraguay,26,Alexandro MAIDANA,30.6
POR V COD,Congo DR,1,Lionel MPASI,24.4
POR V COD,Congo DR,2,Aaron WAN,31.6
POR V COD,Congo DR,3,Steve KAPUADI,32.8
POR V COD,Congo DR,4,Axel TUANZEBE,28.5
POR V COD,Congo DR,6,Ngalayel MUKAU,30.5
POR V COD,Congo DR,8,Samuel MOUTOUSSAMY,29.9
POR V COD,Congo DR,12,Joris KAYEMBE,25.5
POR V COD,Congo DR,14,Noah SADIKI,30.5
POR V COD,Congo DR,17,Cedric BAKAMBU,32.3
POR V COD,Congo DR,18,Charles PICKEL,33.2
POR V COD,Congo DR,20,Yoane WISSA,33.4
POR V COD,Congo DR,22,Chancel MBEMBA,32.2
POR V COD,Congo DR,23,Simon BANZA,29.0
POR V COD,Congo DR,24,Gedeon KALULU,28.0
POR V COD,Congo DR,25,Edo KAYEMBE,28.4
POR V COD,Congo DR,26,Arthur MASUAKU,32.5
POR V COD,Portugal,1,DIOGO COSTA,22.9
POR V COD,Portugal,2,NELSON SEMEDO,31.1
POR V COD,Portugal,4,TOMAS ARAUJO,29.4
POR V COD,Portugal,7,CRISTIANO RONALDO,30.7
POR V COD,Portugal,8,BRUNO FERNANDES,31.2
POR V COD,Portugal,9,GONCALO RAMOS,31.9
POR V COD,Portugal,10,BERNARDO SILVA,28.5
POR V COD,Portugal,13,RENATO VEIGA,32.4
POR V COD,Portugal,15,JOAO NEVES,29.2
POR V COD,Portugal,17,RAFAEL LEAO,30.1
POR V COD,Portugal,18,PEDRO NETO,34.8
POR V COD,Portugal,20,JOAO CANCELO,28.5
POR V COD,Portugal,23,VITINHA,31.4
POR V COD,Portugal,25,NUNO MENDES,31.5
POR V COD,Portugal,26,FRANCISCO CONCEICAO,32.9
POR V GHA,Portugal,1,DIOGO COSTA,24.1
POR V GHA,Portugal,2,NELSON SEMEDO,33.8
POR V GHA,Portugal,3,RUBEN DIAS,32.1
POR V GHA,Portugal,7,CRISTIANO RONALDO,31.6
POR V GHA,Portugal,8,BRUNO FERNANDES,31.0
POR V GHA,Portugal,10,BERNARDO SILVA,29.6
POR V GHA,Portugal,11,JOAO FELIX,32.0
POR V GHA,Portugal,13,RENATO VEIGA,27.3
POR V GHA,Portugal,15,JOAO NEVES,30.4
POR V GHA,Portugal,16,FRANCISCO TRINCAO,29.2
POR V GHA,Portugal,17,RAFAEL LEAO,30.8
POR V GHA,Portugal,18,PEDRO NETO,34.4
POR V GHA,Portugal,20,JOAO CANCELO,30.1
POR V GHA,Portugal,23,VITINHA,30.0
POR V GHA,Portugal,25,NUNO MENDES,34.3
POR V GHA,Portugal,26,FRANCISCO CONCEICAO,33.4
POR V GHA,Uzbekistan,2,Abdukodir KHUSANOV,35.6
POR V GHA,Uzbekistan,3,Khojiakbar ALIJONOV,32.4
POR V GHA,Uzbekistan,5,Rustam ASHURMATOV,30.8
POR V GHA,Uzbekistan,6,Akmal MOZGOVOY,32.2
POR V GHA,Uzbekistan,7,Otabek SHUKUROV,30.7
POR V GHA,Uzbekistan,9,Odiljon XAMROBEKOV,28.6
POR V GHA,Uzbekistan,10,Ruslanbek JIYANOV,29.4
POR V GHA,Uzbekistan,12,Abduvohid NEMATOV,25.1
POR V GHA,Uzbekistan,13,Sherzod NASRULLAEV,34.1
POR V GHA,Uzbekistan,14,Eldor SHOMURODOV,34.0
POR V GHA,Uzbekistan,18,Abdulla ABDULLAEV,32.5
POR V GHA,Uzbekistan,19,Azizjon GANIEV,29.9
POR V GHA,Uzbekistan,21,Igor SERGEEV,24.8
POR V GHA,Uzbekistan,22,Abbosbek FAYZULLAEV,31.7
POR V GHA,Uzbekistan,23,Sherzod ESANOV,26.8
POR V GHA,Uzbekistan,24,Behruzjon KARIMOV,30.9
QAT V SUI,Qatar,1,MAHMOUD ABUNADA,26.8
QAT V SUI,Qatar,2,PEDRO MIGUEL,31.6
QAT V SUI,Qatar,4,ISSA LAYE,29.4
QAT V SUI,Qatar,5,JASSEM GABER,27.6
QAT V SUI,Qatar,7,AHMED ALAAELDIN,31.7
QAT V SUI,Qatar,8,EDMILSON JUNIOR,31.5
QAT V SUI,Qatar,10,HASSAN ALHAYDOS,29.0
QAT V SUI,Qatar,11,AKRAM AFIF,32.4
QAT V SUI,Qatar,12,KARIM BOUDIAF,27.5
QAT V SUI,Qatar,13,AYOUB ALOUI,32.0
QAT V SUI,Qatar,14,HOMAM AHMED,32.6
QAT V SUI,Qatar,15,YUSUF ABDURISAG,30.4
QAT V SUI,Qatar,16,BOUALEM KHOUKHI,31.3
QAT V SUI,Qatar,20,AHMED FATHY,27.5
QAT V SUI,Qatar,23,ASSIM MADIBO,24.8
QAT V SUI,Qatar,26,MOHAMED MANAI,27.1
QAT V SUI,Switzerland,1,Gregor KOBEL,23.2
QAT V SUI,Switzerland,2,Miro MUHEIM,29.5
QAT V SUI,Switzerland,4,Nico ELVEDI,31.7
QAT V SUI,Switzerland,5,Manuel AKANJI,31.4
QAT V SUI,Switzerland,6,Denis ZAKARIA,33.0
QAT V SUI,Switzerland,7,Breel EMBOLO,32.8
QAT V SUI,Switzerland,8,Remo FREULER,28.6
QAT V SUI,Switzerland,9,Johan MANZAMBI,27.7
QAT V SUI,Switzerland,10,Granit XHAKA,28.9
QAT V SUI,Switzerland,11,Dan NDOYE,32.2
QAT V SUI,Switzerland,13,Ricardo RODRIGUEZ,28.5
QAT V SUI,Switzerland,14,Ardon JASHARI,24.1
QAT V SUI,Switzerland,17,Ruben VARGAS,31.8
QAT V SUI,Switzerland,20,Michel AEBISCHER,29.6
QAT V SUI,Switzerland,22,Fabian RIEDER,28.2
QAT V SUI,Switzerland,23,Zeki AMDOUNI,27.0
RSA V KOR,Korea Republic,1,KIM Seunggyu,23.5
RSA V KOR,Korea Republic,2,LEE Hanbeom,32.3
RSA V KOR,Korea Republic,3,LEE Gihyuk,32.8
RSA V KOR,Korea Republic,4,KIM Minjae,33.4
RSA V KOR,Korea Republic,6,HWANG Inbeom,29.8
RSA V KOR,Korea Republic,7,SON Heungmin,32.1
RSA V KOR,Korea Republic,8,PAIK Seungho,26.4
RSA V KOR,Korea Republic,9,CHO Guesung,30.5
RSA V KOR,Korea Republic,11,HWANG Heechan,30.1
RSA V KOR,Korea Republic,13,LEE Taeseok,32.4
RSA V KOR,Korea Republic,16,PARK Jinseob,26.0
RSA V KOR,Korea Republic,18,OH Hyeongyu,29.7
RSA V KOR,Korea Republic,19,LEE Kangin,27.3
RSA V KOR,Korea Republic,22,SEOL Youngwoo,34.1
RSA V KOR,Korea Republic,23,CASTROP Jens,31.2
RSA V KOR,Korea Republic,24,KIM Jingyu,26.8
RSA V KOR,South Africa,1,Ronwen WILLIAMS,25.7
RSA V KOR,South Africa,5,Thalente MBATHA,30.4
RSA V KOR,South Africa,6,Aubrey MODIBA,31.0
RSA V KOR,South Africa,7,Oswin APPOLLIS,29.0
RSA V KOR,South Africa,8,Tshepang MOREMI,33.0
RSA V KOR,South Africa,10,Relebohile MOFOKENG,31.0
RSA V KOR,South Africa,12,Thapelo MASEKO,31.8
RSA V KOR,South Africa,13,Sphephelo SITHOLE,31.1
RSA V KOR,South Africa,14,Mbekezeli MBOKAZI,31.0
RSA V KOR,South Africa,15,Iqraam RAYNERS,30.6
RSA V KOR,South Africa,17,Evidence MAKGOPA,32.5
RSA V KOR,South Africa,20,Khuliso MUDAU,31.8
RSA V KOR,South Africa,21,Ime OKON,32.3
RSA V KOR,South Africa,23,Jayden ADAMS,26.4
SCO V BRA,Brazil,1,ALISSON,15.7
SCO V BRA,Brazil,3,GABRIEL MAGALHAES,31.2
SCO V BRA,Brazil,4,MARQUINHOS,27.9
SCO V BRA,Brazil,5,CASEMIRO,29.3
SCO V BRA,Brazil,6,ALEX SANDRO,26.6
SCO V BRA,Brazil,7,VINICIUS JUNIOR,33.4
SCO V BRA,Brazil,8,BRUNO GUIMARAES,28.9
SCO V BRA,Brazil,9,MATHEUS CUNHA,30.7
SCO V BRA,Brazil,10,NEYMAR JR,26.4
SCO V BRA,Brazil,13,DANILO,34.2
SCO V BRA,Brazil,16,DOUGLAS SANTOS,29.3
SCO V BRA,Brazil,17,FABINHO,27.4
SCO V BRA,Brazil,19,ENDRICK,33.9
SCO V BRA,Brazil,20,LUCAS PAQUETA,28.8
SCO V BRA,Brazil,22,GABRIEL MARTINELLI,34.1
SCO V BRA,Brazil,26,RAYAN,33.2
SCO V BRA,Scotland,1,Angus GUNN,23.3
SCO V BRA,Scotland,3,Andy ROBERTSON,32.0
SCO V BRA,Scotland,4,Scott McTOMINAY,29.7
SCO V BRA,Scotland,6,Kieran TIERNEY,32.6
SCO V BRA,Scotland,7,John McGINN,27.6
SCO V BRA,Scotland,10,Che ADAMS,25.6
SCO V BRA,Scotland,11,Ryan CHRISTIE,31.4
SCO V BRA,Scotland,13,Jack HENDRY,33.6
SCO V BRA,Scotland,17,Ben GANNON,34.3
SCO V BRA,Scotland,19,Lewis FERGUSON,29.5
SCO V BRA,Scotland,20,Lawrence SHANKLAND,28.1
SCO V BRA,Scotland,22,Nathan PATTERSON,30.3
SCO V BRA,Scotland,23,Kenny McLEAN,29.2
SCO V BRA,Scotland,24,Anthony RALSTON,27.6
SCO V BRA,Scotland,25,Findlay CURTIS,33.8
SCO V BRA,Scotland,26,Scott McKENNA,30.0
SCO V MAR,Morocco,1,Yassine BOUNOU,20.2
SCO V MAR,Morocco,2,Achraf HAKIMI,35.1
SCO V MAR,Morocco,3,Noussair MAZRAOUI,28.6
SCO V MAR,Morocco,6,Ayyoub BOUADDI,31.4
SCO V MAR,Morocco,7,Chemsdine TALBI,33.8
SCO V MAR,Morocco,8,Azzedine OUNAHI,33.3
SCO V MAR,Morocco,9,Soufiane RAHIMI,28.8
SCO V MAR,Morocco,10,Brahim DIAZ,33.1
SCO V MAR,Morocco,11,Ismael SAIBARI,32.5
SCO V MAR,Morocco,14,Issa DIOP,28.5
SCO V MAR,Morocco,15,Samir EL MOURABET,26.3
SCO V MAR,Morocco,18,Chadi RIAD,32.9
SCO V MAR,Morocco,21,Ayoube AMAIMOUNI,29.9
SCO V MAR,Morocco,23,Bilal EL KHANNOUSS,33.6
SCO V MAR,Morocco,24,Neil EL AYNAOUI,33.4
SCO V MAR,Scotland,1,Angus GUNN,24.4
SCO V MAR,Scotland,3,Andy ROBERTSON,33.9
SCO V MAR,Scotland,4,Scott McTOMINAY,27.9
SCO V MAR,Scotland,5,Grant HANLEY,32.4
SCO V MAR,Scotland,6,Kieran TIERNEY,33.4
SCO V MAR,Scotland,7,John McGINN,30.9
SCO V MAR,Scotland,9,Lyndon DYKES,27.5
SCO V MAR,Scotland,10,Che ADAMS,33.8
SCO V MAR,Scotland,11,Ryan CHRISTIE,28.8
SCO V MAR,Scotland,13,Jack HENDRY,32.5
SCO V MAR,Scotland,14,Ross STEWART,27.6
SCO V MAR,Scotland,17,Ben GANNON,34.0
SCO V MAR,Scotland,19,Lewis FERGUSON,30.5
SCO V MAR,Scotland,22,Nathan PATTERSON,32.1
SCO V MAR,Scotland,23,Kenny McLEAN,26.6
SCO V MAR,Scotland,24,Anthony RALSTON,25.7
SEN V IRQ,Iraq,2,REBIN SULAKA,25.0
SEN V IRQ,Iraq,5,AKAM HASHIM,31.4
SEN V IRQ,Iraq,6,MUNAF YOUNUS,30.1
SEN V IRQ,Iraq,8,IBRAHIM BAYESH,31.7
SEN V IRQ,Iraq,9,ALI ALHAMADI,32.8
SEN V IRQ,Iraq,11,AHMED QASEM,29.1
SEN V IRQ,Iraq,12,JALAL HASSAN,17.5
SEN V IRQ,Iraq,13,ALI YOUSIF,32.4
SEN V IRQ,Iraq,14,ZIDANE IQBAL,28.3
SEN V IRQ,Iraq,15,AHMED MAKNAZI,29.7
SEN V IRQ,Iraq,16,AMIR ALAMMARI,31.4
SEN V IRQ,Iraq,17,ALI JASIM,29.6
SEN V IRQ,Iraq,19,KEVIN YAKOB,27.8
SEN V IRQ,Iraq,22,AHMED BASIL,25.5
SEN V IRQ,Iraq,23,MERCHAS DOSKI,32.1
SEN V IRQ,Iraq,26,FRANS PUTROS,28.6
SEN V IRQ,Senegal,4,Abdoulaye SECK,33.0
SEN V IRQ,Senegal,5,Idrissa Gana GUEYE,27.0
SEN V IRQ,Senegal,6,Pathe CISS,26.9
SEN V IRQ,Senegal,7,Assane DIAO,29.6
SEN V IRQ,Senegal,8,Lamine CAMARA,27.3
SEN V IRQ,Senegal,10,Sadio MANE,30.5
SEN V IRQ,Senegal,11,Nicolas JACKSON,30.7
SEN V IRQ,Senegal,13,Iliman NDIAYE,32.6
SEN V IRQ,Senegal,14,Ismail JAKOBS,32.6
SEN V IRQ,Senegal,15,Krepin DIATTA,30.9
SEN V IRQ,Senegal,18,Ismaila SARR,32.8
SEN V IRQ,Senegal,19,Moussa NIAKHATE,27.4
SEN V IRQ,Senegal,20,Ibrahim MBAYE,33.5
SEN V IRQ,Senegal,21,Habib DIARRA,32.4
SEN V IRQ,Senegal,23,Mory DIAW,23.5
SEN V IRQ,Senegal,26,Pape GUEYE,28.4
SUI V BIH,Bosnia and Herzegovina,1,Nikola VASILJ,25.2
SUI V BIH,Bosnia and Herzegovina,4,Tarik MUHAREMOVIC,31.4
SUI V BIH,Bosnia and Herzegovina,5,Sead KOLASINAC,31.6
SUI V BIH,Bosnia and Herzegovina,6,Benjamin TAHIROVIC,29.8
SUI V BIH,Bosnia and Herzegovina,7,Amar DEDIC,31.0
SUI V BIH,Bosnia and Herzegovina,10,Ermedin DEMIROVIC,32.1
SUI V BIH,Bosnia and Herzegovina,11,Edin DZEKO,27.9
SUI V BIH,Bosnia and Herzegovina,13,Ivan BASIC,27.0
SUI V BIH,Bosnia and Herzegovina,14,Ivan SUNJIC,25.9
SUI V BIH,Bosnia and Herzegovina,15,Amar MEMIC,33.2
SUI V BIH,Bosnia and Herzegovina,16,Amir HADZIAHMETOVIC,26.5
SUI V BIH,Bosnia and Herzegovina,18,Nikola KATIC,30.1
SUI V BIH,Bosnia and Herzegovina,19,Kerim ALAJBEGOVIC,31.9
SUI V BIH,Bosnia and Herzegovina,20,Esmir BAJRAKTAREVIC,28.7
SUI V BIH,Bosnia and Herzegovina,25,Jovo LUKIC,27.6
SUI V BIH,Bosnia and Herzegovina,26,Ermin MAHMIC,25.8
SUI V BIH,Switzerland,1,Gregor KOBEL,21.5
SUI V BIH,Switzerland,3,Silvan WIDMER,32.5
SUI V BIH,Switzerland,4,Nico ELVEDI,31.2
SUI V BIH,Switzerland,5,Manuel AKANJI,31.1
SUI V BIH,Switzerland,7,Breel EMBOLO,34.0
SUI V BIH,Switzerland,8,Remo FREULER,28.4
SUI V BIH,Switzerland,9,Johan MANZAMBI,29.6
SUI V BIH,Switzerland,10,Granit XHAKA,28.7
SUI V BIH,Switzerland,11,Dan NDOYE,31.4
SUI V BIH,Switzerland,13,Ricardo RODRIGUEZ,31.1
SUI V BIH,Switzerland,15,Djibril SOW,27.1
SUI V BIH,Switzerland,17,Ruben VARGAS,31.2
SUI V BIH,Switzerland,20,Michel AEBISCHER,29.4
SUI V BIH,Switzerland,22,Fabian RIEDER,30.4
SUI V BIH,Switzerland,25,Luca JAQUEZ,29.6
SUI V BIH,Switzerland,26,Cedric ITTEN,30.1
SUI V CAN,Canada,2,Alistair JOHNSTON,35.1
SUI V CAN,Canada,4,Luc DE FOUGEROLLES,32.8
SUI V CAN,Canada,6,Mathieu CHOINIERE,27.1
SUI V CAN,Canada,7,Stephen EUSTAQUIO,26.9
SUI V CAN,Canada,9,Cyle LARIN,31.8
SUI V CAN,Canada,10,Jonathan DAVID,31.6
SUI V CAN,Canada,11,Liam MILLAR,32.0
SUI V CAN,Canada,12,Tani OLUWASEYI,33.7
SUI V CAN,Canada,13,Derek CORNELIUS,29.9
SUI V CAN,Canada,14,Jacob SHAFFELBURG,29.5
SUI V CAN,Canada,16,Maxime CREPEAU,23.7
SUI V CAN,Canada,17,Tajon BUCHANAN,30.8
SUI V CAN,Canada,20,Ali AHMED,32.3
SUI V CAN,Canada,22,Richie LARYEA,35.2
SUI V CAN,Canada,24,Promise DAVID,30.1
SUI V CAN,Canada,25,Nathan SALIBA,32.3
SUI V CAN,Switzerland,1,Gregor KOBEL,22.4
SUI V CAN,Switzerland,3,Silvan WIDMER,27.1
SUI V CAN,Switzerland,4,Nico ELVEDI,31.7
SUI V CAN,Switzerland,5,Manuel AKANJI,29.8
SUI V CAN,Switzerland,7,Breel EMBOLO,31.8
SUI V CAN,Switzerland,8,Remo FREULER,27.3
SUI V CAN,Switzerland,9,Johan MANZAMBI,33.9
SUI V CAN,Switzerland,10,Granit XHAKA,27.2
SUI V CAN,Switzerland,11,Dan NDOYE,27.8
SUI V CAN,Switzerland,13,Ricardo RODRIGUEZ,27.5
SUI V CAN,Switzerland,15,Djibril SOW,31.7
SUI V CAN,Switzerland,16,Christian FASSNACHT,31.7
SUI V CAN,Switzerland,17,Ruben VARGAS,34.3
SUI V CAN,Switzerland,20,Michel AEBISCHER,31.3
SUI V CAN,Switzerland,25,Luca JAQUEZ,33.6
SUI V CAN,Switzerland,26,Cedric ITTEN,27.7
SWE V TUN,Sweden,2,Gustaf LAGERBIELKE,28.6
SWE V TUN,Sweden,3,Victor LINDELOF,28.0
SWE V TUN,Sweden,4,Isak HIEN,31.9
SWE V TUN,Sweden,5,Gabriel GUDMUNDSSON,31.1
SWE V TUN,Sweden,7,Lucas BERGVALL,30.4
SWE V TUN,Sweden,8,Daniel SVENSSON,29.6
